rsi,currentADX,prevADX,rvol,atrPercentage,upperWick,lowerWick,bodySize,isWhipsaw,directionIntent,target_win
38.6883,35.2828,36.0503,1.4301,0.4278,0.2600,0.0600,0.2000,1,-1,0
46.2811,31.6672,33.4376,1.0773,0.4706,0.3600,0.1500,0.2100,0,-1,1
23.2656,37.6728,36.0855,2.8836,0.5676,0.0200,0.2500,0.7000,0,-1,0
47.4581,38.5977,39.9823,1.0409,0.6554,0.2100,0.0900,0.6900,1,-1,0
63.6872,32.4152,31.3923,4.7483,0.7921,1.9900,0.3300,1.1700,0,1,0
58.5523,35.1838,36.4747,0.8554,1.0545,0.0800,1.5900,0.5100,1,1,1
77.7767,32.2411,30.0294,3.1117,0.5257,0.2800,0.0000,0.6800,0,1,0
73.7011,41.4216,40.9636,1.0496,0.6590,0.3600,0.6000,0.3500,0,1,1
80.0725,51.8424,50.6065,0.8312,0.5603,0.2100,0.0500,0.3100,0,1,1
69.3069,46.4388,45.7639,1.4478,0.6542,0.0800,0.2200,0.2300,0,1,1
75.9126,22.6254,20.2035,5.0783,0.5234,0.3400,0.1700,1.3600,0,1,1
75.5042,39.8129,38.6072,1.7565,0.7609,0.6700,0.0300,1.6300,1,1,0
36.5496,36.1825,37.4439,5.3510,0.6517,0.2100,0.0000,2.5700,0,-1,0
44.8936,34.4523,35.2821,2.0037,0.8488,0.3800,0.1500,2.0500,1,-1,0
52.0616,18.1771,19.3049,1.0613,0.4851,0.2200,0.0700,0.3700,1,1,0
37.9865,16.6325,15.2656,1.6830,0.3915,0.0400,0.1700,0.7100,0,-1,0
56.2849,15.6997,16.7455,1.6476,0.4284,0.2600,0.1600,0.8900,1,-1,1
36.9467,16.3382,15.1823,1.9262,0.4516,0.0000,0.3000,0.5200,0,-1,0
60.3980,16.1912,15.9476,1.0585,0.4044,0.0600,0.3100,0.5600,0,1,1
70.9093,25.4374,22.7389,3.0652,0.3485,0.2300,0.0500,0.8800,0,1,0
50.6267,26.7157,27.9431,2.7665,0.4174,0.0200,0.1600,1.3700,1,1,0
49.4399,22.0381,23.1509,0.8436,0.3681,0.3100,0.0700,0.2600,0,1,0
44.4454,17.6074,18.3816,0.7320,0.4283,0.1600,0.1600,0.4100,1,1,0
43.2081,13.7131,13.7913,0.8728,0.3817,0.1100,0.1600,0.1900,0,-1,1
24.7914,18.9372,16.6342,2.8049,0.3369,0.2500,0.0000,1.0200,0,-1,1
26.8500,44.3219,42.7166,1.8957,0.4354,0.2500,0.4400,0.1500,0,-1,0
53.8441,41.6118,44.3498,1.1222,0.4571,0.2100,0.0700,0.9600,1,-1,1
30.3215,21.3969,19.1942,4.6305,0.5739,0.4700,0.7300,0.1600,0,-1,0
49.1326,17.0316,16.2691,2.1898,0.8716,0.0000,0.7100,1.1400,1,-1,0
66.6298,14.2891,13.3051,1.5208,0.7812,0.4100,0.1300,1.3000,0,1,0
48.8004,14.6809,15.5461,1.0357,0.5954,0.1000,0.0700,0.9000,1,1,0
34.4744,13.9311,12.7076,1.3415,0.5052,0.1200,0.0300,1.1300,0,-1,0
51.9836,28.8058,30.9033,1.1405,0.5630,0.3800,0.2600,1.2000,1,-1,0
44.5249,26.5476,28.0542,1.7782,0.6771,0.1800,0.3600,1.5500,1,-1,0
62.7049,13.2472,13.3095,1.8786,0.7546,0.0300,0.0700,1.1300,0,1,0
54.0183,23.7836,24.1367,0.3161,0.4812,0.1900,0.2000,0.2200,0,1,0
41.3649,19.0696,20.1727,4.2713,0.5111,0.0100,0.2600,1.5700,1,1,1
61.1808,14.8457,14.2167,1.2615,0.7018,0.3200,0.1700,0.6900,0,1,1
79.1873,34.8682,31.8722,3.6654,0.7047,0.6000,0.1000,1.3400,0,1,0
43.8366,32.5601,34.5280,0.4149,0.4337,0.2300,0.0800,0.4500,0,-1,0
57.6885,15.0969,15.8990,1.1646,0.2913,0.0800,0.2100,0.3300,0,1,0
45.3102,13.8005,13.5572,3.6392,0.3156,0.0600,0.2800,0.1000,0,1,1
67.8635,17.3896,16.1413,1.3927,0.4113,0.1200,0.2900,0.5600,0,1,0
45.8108,20.9689,21.9827,0.8876,0.5096,0.0000,0.1200,0.9700,0,1,0
35.5699,18.4255,18.6113,1.6628,0.6211,0.2600,0.0100,0.8500,0,-1,0
55.0296,23.8145,25.5603,0.8850,0.4844,0.0600,0.2300,0.1500,0,-1,0
71.4111,16.8267,15.4844,2.4467,0.3403,0.0200,0.3000,0.5300,0,1,0
59.8969,27.2296,26.8650,0.3667,0.3785,0.3600,0.0600,0.3100,0,1,1
72.0057,38.5115,37.8182,2.1533,0.4425,0.0900,0.1400,0.5400,0,1,0
50.1848,32.6675,35.1696,1.6102,0.5039,0.1200,0.4400,0.3800,0,1,0
64.0388,30.6923,30.4504,2.9508,0.5467,0.3900,0.0800,1.2700,0,1,1
74.9964,38.0395,36.2122,2.7741,0.8865,0.5700,0.3600,1.2200,0,1,0
46.4503,19.5402,18.9341,1.5771,0.5167,0.0000,1.1500,0.2100,0,1,1
69.7050,26.0159,24.3338,0.9856,0.4896,0.5400,0.4000,0.0500,0,1,0
57.1658,30.4066,29.5547,1.7619,0.5461,0.7000,0.1800,0.5300,1,1,0
39.8567,27.1168,29.1747,0.6526,0.5214,0.1500,0.1600,0.6300,0,-1,0
54.8055,17.7525,17.6212,1.1587,0.4796,0.3200,0.3000,0.1200,0,-1,0
62.5442,16.3853,15.7459,2.9875,0.5705,0.3400,0.3600,1.6100,1,1,0
53.6776,24.2158,25.6326,0.7992,0.8239,0.1500,0.7700,0.1500,0,1,0
30.4268,29.9347,27.6111,3.3691,0.4107,0.1000,0.1200,0.9100,0,-1,0
53.0959,35.6179,37.4841,0.5253,0.3784,0.0600,0.3300,0.3600,0,-1,0
46.5983,16.6097,16.4058,2.4314,0.2444,0.2200,0.4300,0.0200,0,-1,0
61.7260,17.5804,17.1975,1.5390,0.3119,0.3900,0.1300,0.2700,0,1,0
49.4119,14.5986,14.5640,0.5900,0.3439,0.0800,0.3200,0.1300,1,1,0
37.4037,13.8698,13.4399,1.0670,0.3786,0.3300,0.0100,0.2700,0,-1,0
60.7966,12.3970,13.2614,2.7564,0.3946,0.1200,0.1300,0.6000,1,1,1
76.8687,23.4433,20.2372,4.6808,0.3504,0.8900,0.0900,0.3600,0,1,0
74.2656,28.5749,25.9529,1.6799,0.4222,0.9400,0.2900,0.2500,0,1,0
39.9493,34.4613,36.7119,0.5698,0.6159,0.0800,0.1100,0.6800,0,1,0
30.8775,20.4275,20.0542,1.4890,0.6598,0.1100,0.0100,0.9200,0,-1,0
51.4763,24.9422,25.8522,2.5417,0.5183,0.1300,0.0000,0.3300,1,-1,0
59.8707,22.5447,23.0963,0.5621,0.5403,0.2700,0.2400,0.1800,1,1,0
34.3517,17.1490,15.7667,1.8128,0.6186,0.4100,0.0500,1.5700,0,-1,0
61.4434,23.1429,23.8816,0.7115,0.5043,0.1800,0.1600,0.2700,0,1,0
